day,time,learning target,activities and materials,access and differentiation,formative evidence,contingency,teacher checkpoint
1,50,Launch questions about shared water,Picture walk and teacher-created model,Visual agenda read-aloud vocabulary cards choice to draw/speak/write,Notice-wonder response,Use printed images if projector fails,Verify source labels and learner entry points
2,50,Investigate how water moves,,,,,
3,50,Interpret one water observation or data display,,,,,
4,50,Compare sources and perspectives,,,,,
5,35,Synthesize and prepare for midpoint check,,,,,
6,50,Revise explanation after teacher conference,,,,,
7,50,Plan community communication product,,,,,
8,50,Create and peer-check product,,,,,
9,50,Revise with evidence and accessibility review,,,,,
10,70,Share reflect and verify learning,,,,,
