requirement_id,category,parameter_or_interface,nominal_value,unit,tolerance_or_rule,reference_surface,validation_method,status,notes
R01,Enclosure,enclosure_width,120,mm,Source dimension,Enclosure outer faces,Compare parameter and rendered dimension,OPEN,
R02,Enclosure,enclosure_height,80,mm,Source dimension,Lower enclosure face,Compare parameter and rendered dimension,OPEN,
R03,Enclosure,enclosure_depth,45,mm,Source dimension,Back enclosure face,Compare parameter and rendered dimension,OPEN,
R04,Fit,side_clearance,0.8,mm,Per side,Side lips,Fit coupon or measured slot width,OPEN,
R05,Structure,minimum_wall,3.0,mm,No wall below minimum,Any printed wall,Section inspection,OPEN,
R06,Cable,cable_opening_width,24,mm,At least nominal,Bracket centreline,Measure rendered opening,OPEN,
R07,Cable,cable_opening_depth,18,mm,At least nominal,Shelf front edge,Measure rendered opening,OPEN,
R08,Mounting,hole_spacing_x,90,mm,Centre to centre,Back-plate centreline,Measure hole centres,OPEN,
R09,Mounting,hole_spacing_z,55,mm,Centre to centre,Back-plate lower edge,Measure hole centres,OPEN,
R10,Mounting,mount_hole_diameter,5.5,mm,Classroom prototype value,Hole axes,Measure rendered diameter,OPEN,
R11,Mounting,minimum_edge_distance,10,mm,Hole centre to nearest plate edge,Back-plate edges,Calculate and inspect,OPEN,
R12,Printing,preferred_orientation,Back plate flat,text,Must be documented,Back plate,Slicer or orientation screenshot,OPEN,
R13,Printing,unsupported_span,12,mm,Maximum without documented supports,Shelf and cable opening,Section inspection,OPEN,
R14,Safety,certification_claim,None,text,No structural or field certification,Whole design,Review documentation language,OPEN,
