SKU,Item Name,Category,Qty On Hand,Unit,Reorder Level,Supplier,Last Counted,Location,Alert Sent
001024,AquaNode sensor hub PCB,Electronics,18,pcs,10,BlueCurrent Components,2026-07-28,E-A1,
001025,RS485 transceiver module,electronics,8,PCS,12,Blue Current Components,28/07/2026,E-A2,
001026,pH probe assembly,Sensors,5,pcs,6,MedWave Sensors,2026/07/27,S-B1,
001027,PAR sensor head,Sensors,11,units,5,Photon Field Ltd.,2026-07-27,S-B2,
001028,24 V DIN power supply,Electrical,4,pcs,4,VoltEdge Systems,2026-07-26,E-C1,YES
001029,M12 cable gland,Mechanical,75,pcs,40,FastenRight,2026-07-25,M-D1,
001030,Silicone gasket 70 mm,Mechanical,thirty,pcs,25,SealWorks Europe,2026-07-25,M-D2,
001031,Polycarbonate enclosure,Mechanical,9,pcs,,FormShell Plastics,2026-07-24,M-E1,
001032,Stainless mounting plate,Mechanical,14,pcs,8,MetalCraft Fabrication,2026-07-24,M-E2,
001033,USB-RS485 adapter,Electronics,3,pcs,5,BlueCurrent Components,2026-07-23,E-A3,
001034,Calibration buffer pH 7,Chemicals,6,bottles,3,LabSource,2026-07-23,C-F1,
001035,Calibration buffer pH 4,Chemicals,2,bottle,3,LabSource,2026-07-23,C-F2,
001036,CAT6 shielded cable,Electrical,125,m,50,CablePro,2026-07-22,E-G1,
001037,Heat-shrink tubing kit,Electrical,1,kit,2,Cable Pro,2026-07-22,E-G2,
001038,Workshop mounting bracket,Finished Goods,7,pcs,5,Internal,2026-07-21,F-H1,
001039,AquaNode Mini prototype,Prototype,2,pcs,1,Internal,2026-07-21,P-J1,
001040,HydroSense HX-200 seal kit,Service Parts,0,pcs,2,SealWorks Europe,2026-07-20,S-K1,
001041,HydroSense HX-200 bearing set,Service Parts,-1,pcs,2,MotionCore Bearings,2026-07-20,S-K2,
001042,Thread-locking compound,Chemicals,450,ml,250,FastenRight,July 19 2026,C-F3,
001043,M8 stainless bolt,Mechanical,240,pcs,100,FastenRight,2026-07-19,M-D3,
001043,M8 stainless bolt,Mechanical,60,pcs,100,Fasten Right,2026-07-18,Workshop bin 12,
001044,OLED display 2.42 inch,Electronics,6,pcs,6,PhotonField Ltd,2026-07-18,E-A4,
001045,ESP32 controller board,Electronics,,pcs,10,BlueCurrent Components,2026-07-18,E-A5,
001046,Desiccant pack,Consumables,100,pcs,30,PackSafe,2026-07-17,C-L1,
001047,Shipping carton medium,Packaging,42,pcs,20,PackSafe,2026-07-17,P-M1,
001048,Foam insert AquaNode,Packaging,19,pcs,20,PackSafe,2026-07-17,P-M2,
001049,Label roll 50x25,Packaging,3,rolls,2,PrintMark,2026-07-16,P-M3,
001050,Thermal paste,Consumables,0.5,kg,0.25,LabSource,2026-07-16,C-L2,
01051,Cable tie 200 mm,Consumables,500,pcs,150,CablePro,2026-07-16,C-L3,
001052,Flow sensor 1 inch,Sensors,4,pcs,3,MedWave Sensors,,S-B3,
